u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0288815014064312,-0.0479642488062382,-0.0397363603115082,-0.0237416848540306,-0.0225896183401346,-0.0294535309076309,Frontal_Sup_Orb_L_5,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_L_5,Nalt,SON2_003
-0.00597875751554966,-0.027368851006031,-0.0146672269329429,-0.00786095391958952,-0.0146414106711745,-0.00302012450993061,Frontal_Sup_Orb_L_5,Nalt,SON2_004
-0.0259786210954189,0.00129862199537456,-0.00417266692966223,0.00265247095376253,-0.0155397551134229,-0.010546401143074,Frontal_Sup_Orb_L_5,Nalt,SON2_005
-0.0191362127661705,-0.0207621138542891,-0.0203569438308477,-0.0162028297781944,-0.0394240543246269,-0.0210687350481749,Frontal_Sup_Orb_L_5,Nalt,SON2_006
-0.0262711364775896,-0.0167707782238722,-0.0182008389383554,-0.0162885542958975,-0.0101793818175793,-0.0126352412626147,Frontal_Sup_Orb_L_5,Nalt,SON2_008
0.0119945080950856,0.0170729793608189,0.00845081079751253,0.00974641554057598,0.00848048739135265,0.00598566606640816,Frontal_Sup_Orb_L_5,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_L_5,Nalt,SON2_010
-0.0083344355225563,-0.00686719687655568,-0.00247840769588947,-0.00403366843238473,-0.00680399453267455,-0.00162575975991786,Frontal_Sup_Orb_L_5,Nalt,SON2_011
-0.0364265777170658,-0.0569810755550861,-0.0479797795414925,-0.0219047963619232,-0.0201116092503071,-0.0335396230220795,Frontal_Sup_Orb_L_5,Nalt,SON2_012
-0.0221359394490719,-0.0156230954453349,-0.0169857926666737,-0.0267171803861856,-0.0180177036672831,-0.0254371035844088,Frontal_Sup_Orb_L_5,Nalt,SON2_013
-0.0238011907786131,-0.0190972685813904,-0.0164715796709061,-0.0173444095999002,-0.0090760625898838,-0.00899432227015495,Frontal_Sup_Orb_L_5,Nalt,SON2_014
-0.0104764550924301,-0.0189228840172291,-0.00977672729641199,-0.0252587236464024,-0.0130108240991831,-0.0103207267820835,Frontal_Sup_Orb_L_5,Nalt,SON2_015
-0.000831440091133118,-0.00772936828434467,-0.00376586965285242,0.00398298073559999,-0.0106111289933324,-0.00346883595921099,Frontal_Sup_Orb_L_5,Nalt,SON2_016
-0.0287387073040009,-0.0457867570221424,-0.0369517654180527,-0.0279060192406178,-0.0238398555666208,-0.0280511491000652,Frontal_Sup_Orb_L_5,Nalt,SON2_017
-0.0198064781725407,-0.00910620298236609,-0.0256606433540583,-0.0133241172879934,-0.0139541020616889,-0.022196177393198,Frontal_Sup_Orb_L_5,Nalt,SON2_018
-0.0111538106575608,-0.00720601435750723,-0.0158186703920364,-0.00707930419594049,-0.00183363759424537,-0.00654545938596129,Frontal_Sup_Orb_L_5,Nalt,SON2_019
0.00303237675689161,0.00744175910949707,0.00578005192801356,0.0039330692961812,0.000942146871238947,0.0124753965064883,Frontal_Sup_Orb_L_5,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_L_5,Nalt,SON2_022
-0.0362538173794746,-0.0288157686591148,-0.0282243527472019,-0.025725768879056,-0.0225757490843534,-0.0188738498836756,Frontal_Sup_Orb_L_5,Nalt,SON2_023
-0.0100471647456288,-0.00302616227418184,-0.0106706907972693,-0.00985541939735413,-0.00658629182726145,-0.00259774085134268,Frontal_Sup_Orb_L_5,Nalt,SON2_024
-0.0182491950690746,-0.0294382069259882,-0.0288173835724592,-0.0275350883603096,-0.0198838301002979,-0.0261029880493879,Frontal_Sup_Orb_L_5,Nalt,SON2_025
